condition,speed_cm_s,n_trials,n_success,n_failures,n_no_contact,n_finite_contact_error,success_rate,mean_lift_mm,mean_progress_pct,mean_contact_position_error_finite_only,mean_ee_to_target_error_contact_window_finite_only,mean_contact_window_ee_to_object_xy_finite_only,mean_orientation_error_finite_only,mean_approach_error_finite_only,main_failure_counts
dynamic_ct,2.000,10,3,7,7,3,0.300,48.510,88.234,0.721,4.520,55.002,3.812,0.870,"{""attempt_limit"": 7, ""none"": 3}"
dynamic_ct,4.000,10,8,2,1,9,0.800,160.118,80.780,2.064,6.297,46.426,12.742,5.651,"{""attempt_limit"": 1, ""none"": 8, ""orientation"": 1}"
dynamic_ct,6.000,10,8,2,1,9,0.800,185.518,73.229,2.247,10.344,36.891,13.694,8.278,"{""attempt_limit"": 1, ""none"": 8, ""orientation"": 1}"
dynamic_ct,8.000,10,3,7,5,5,0.300,116.725,78.185,2.839,8.336,44.365,14.500,12.371,"{""approach"": 1, ""attempt_limit"": 5, ""none"": 3, ""orientation"": 1}"
dynamic_cv,2.000,10,3,7,7,3,0.300,48.510,88.234,0.721,4.520,55.002,3.812,0.870,"{""attempt_limit"": 7, ""none"": 3}"
dynamic_cv,4.000,10,8,2,1,9,0.800,159.591,80.780,2.064,6.297,46.426,12.742,5.651,"{""attempt_limit"": 1, ""none"": 8, ""orientation"": 1}"
dynamic_cv,6.000,10,8,2,1,9,0.800,185.030,73.223,2.253,10.336,36.835,13.716,8.274,"{""attempt_limit"": 1, ""none"": 8, ""orientation"": 1}"
dynamic_cv,8.000,10,3,7,5,5,0.300,116.693,78.192,2.837,8.335,44.365,14.518,12.372,"{""approach"": 1, ""attempt_limit"": 5, ""none"": 3, ""orientation"": 1}"
dynamic_tau0,2.000,10,6,4,4,6,0.600,88.250,92.171,1.176,4.867,55.828,4.323,1.327,"{""attempt_limit"": 4, ""none"": 6}"
dynamic_tau0,4.000,10,9,1,1,9,0.900,202.526,71.634,2.226,4.479,41.140,8.706,2.297,"{""attempt_limit"": 1, ""none"": 9}"
dynamic_tau0,6.000,10,9,1,1,9,0.900,230.843,65.058,2.902,7.019,27.234,9.952,6.642,"{""attempt_limit"": 1, ""none"": 9}"
dynamic_tau0,8.000,10,2,8,8,2,0.200,68.243,71.307,3.777,5.457,32.436,6.856,4.789,"{""attempt_limit"": 8, ""none"": 2}"
static_replay,2.000,10,0,10,10,0,0.000,-0.010,100.000,nan,0.062,150.048,nan,nan,"{""attempt_limit"": 10}"
static_replay,4.000,10,0,10,10,0,0.000,-0.010,100.000,nan,0.062,150.096,nan,nan,"{""attempt_limit"": 10}"
static_replay,6.000,10,0,10,10,0,0.000,-0.010,100.000,nan,0.062,150.090,nan,nan,"{""attempt_limit"": 10}"
static_replay,8.000,10,0,10,10,0,0.000,-0.010,100.000,nan,0.062,150.101,nan,nan,"{""attempt_limit"": 10}"
